"cle_pays";"iso3";"pays";"region";"continent";"sous_region_onu";"pays_source_en"
"191";"AND";"Andorre";"Europe";"Europe";"Southern Europe";"Andorra"
"192";"BIH";"Bosnie-Herzégovine";"Europe";"Europe";"Southern Europe";"Bosnia and Herzegovina"
"193";"HRV";"Croatie";"Europe";"Europe";"Southern Europe";"Croatia"
"194";"ESP";"Espagne";"Europe";"Europe";"Southern Europe";"Spain"
"195";"GIB";"Gibraltar";"Europe";"Europe";"Southern Europe";"Gibraltar"
"196";"GRC";"Grèce";"Europe";"Europe";"Southern Europe";"Greece"
"197";"ITA";"Italie";"Europe";"Europe";"Southern Europe";"Italy"
"198";"MKD";"Macédoine du Nord";"Europe";"Europe";"Southern Europe";"Republic of North Macedonia"
"199";"MLT";"Malte";"Europe";"Europe";"Southern Europe";"Malta"
"200";"MNE";"Monténégro";"Europe";"Europe";"Southern Europe";"Montenegro"
"201";"PRT";"Portugal";"Europe";"Europe";"Southern Europe";"Portugal"
"202";"SMR";"Saint-Marin";"Europe";"Europe";"Southern Europe";"San Marino"
"203";"SRB";"Serbie";"Europe";"Europe";"Southern Europe";"Serbia"
"204";"HIST_SCG";"Serbie-et-Monténégro";"Europe";"Europe";"Southern Europe";"Serbia and Montenegro"
"205";"SVN";"Slovénie";"Europe";"Europe";"Southern Europe";"Slovenia"
"206";"VAT";"État de la Cité du Vatican";"Europe";"Europe";"Southern Europe";"Holy See"
"207";"DEU";"Allemagne";"Europe";"Europe";"Western Europe";"Germany"
"208";"AUT";"Autriche";"Europe";"Europe";"Western Europe";"Austria"
"209";"BEL";"Belgique";"Europe";"Europe";"Western Europe";"Belgium"
"210";"FRA";"France";"Europe";"Europe";"Western Europe";"France"
"211";"LIE";"Liechtenstein";"Europe";"Europe";"Western Europe";"Liechtenstein"
"212";"LUX";"Luxembourg";"Europe";"Europe";"Western Europe";"Luxembourg"
"213";"MCO";"Monaco";"Europe";"Europe";"Western Europe";"Monaco"
"214";"NLD";"Pays-Bas";"Europe";"Europe";"Western Europe";"Netherlands"
"215";"CHE";"Suisse";"Europe";"Europe";"Western Europe";"Switzerland"
"216";"AUS";"Australie";"Western Pacific";"Oceania";"Australia and New Zealand";"Australia"
"217";"NZL";"Nouvelle-Zélande";"Western Pacific";"Oceania";"Australia and New Zealand";"New Zealand"
"218";"FJI";"Fidji";"Western Pacific";"Oceania";"Melanesia";"Fiji"
"219";"NCL";"Nouvelle-Calédonie";"Western Pacific";"Oceania";"Melanesia";"New Caledonia"
"220";"PNG";"Papouasie-Nouvelle-Guinée";"Western Pacific";"Oceania";"Melanesia";"Papua New Guinea"
"221";"VUT";"Vanuatu";"Western Pacific";"Oceania";"Melanesia";"Vanuatu"
"222";"SLB";"Îles Salomon";"Western Pacific";"Oceania";"Melanesia";"Solomon Islands"
"223";"GUM";"Guam";"Western Pacific";"Oceania";"Micronesia";"Guam"
"224";"KIR";"Kiribati";"Western Pacific";"Oceania";"Micronesia";"Kiribati"
"225";"FSM";"Micronésie";"Western Pacific";"Oceania";"Micronesia";"Micronesia (Federated States of)"
"226";"PLW";"Palaos";"Western Pacific";"Oceania";"Micronesia";"Palau"
"227";"MNP";"Îles Mariannes du Nord";"Western Pacific";"Oceania";"Micronesia";"Northern Mariana Islands"
"228";"MHL";"Îles Marshall";"Western Pacific";"Oceania";"Micronesia";"Marshall Islands"
"229";"NRU";"Nauru";"Western Pacific";"Oceania";"Polynesia";"Nauru"
"230";"NIU";"Niue";"Western Pacific";"Oceania";"Polynesia";"Niue"
"231";"PYF";"Polynésie française";"Western Pacific";"Oceania";"Polynesia";"French Polynesia"
"232";"WSM";"Samoa";"Western Pacific";"Oceania";"Polynesia";"Samoa"
"233";"ASM";"Samoa américaines";"Western Pacific";"Oceania";"Polynesia";"American Samoa"
"234";"TKL";"Tokelau";"Western Pacific";"Oceania";"Polynesia";"Tokelau"
"235";"TON";"Tonga";"Western Pacific";"Oceania";"Polynesia";"Tonga"
"236";"TUV";"Tuvalu";"Western Pacific";"Oceania";"Polynesia";"Tuvalu"
"237";"WLF";"Wallis-et-Futuna";"Western Pacific";"Oceania";"Polynesia";"Wallis and Futuna Islands"
"238";"COK";"Îles Cook";"Western Pacific";"Oceania";"Polynesia";"Cook Islands"
