country;region;year;population_total_people;population_rural_people;political_stability;basic_drinking_water_pct;safely_managed_drinking_water_pct;wash_mortality_rate_per_100k;wash_deaths;rural_share_pct;basic_minus_safe_gap_pct;risk_low_basic;risk_low_safe;risk_high_gap;risk_high_mortality;risk_low_stability;risk_high_rurality;score_creation_services;score_modernisation_services;score_gouvernance;action_prioritaire;wash_score_inverse;water_access_score;gov_effectiveness_score
Belarus;Europe;2016;9445643.0;2117714.0;0.14;96.47418;94.49743;0.05165;4.89667;22.42000888663694;1.9767500000000096;0.0433655823518414;0.0576358972226502;0.0299598226918055;0.0004491430601805;0.346590909090909;0.2063476824096093;8.153110254625656;3.6511920304360665;98.21463284699098;Renforcer la gouvernance politique;0.9995508569398195;0.9647418000000001;0.9821463284699098
Belgium;Europe;2016;11354420.0;236371.0;0.44;100.0;99.52319;0.28179;32.00647;2.081753185103246;0.4768100000000004;1.2299396845438793e-07;0.0049942794284728;0.0072265805274717;0.0027269258691259;0.2897727272727273;0.0191598918299676;0.6429754363557592;0.5322114101253084;99.86365370654372;Renforcer la gouvernance politique;0.9972730741308741;1.0;0.9986365370654371
Belize;Americas;2016;368400.0;200009.0;0.06;97.58454;;0.96521;3.54188;54.291259500542886;;0.0297088240792671;;;0.0094909926427833;0.3617424242424242;0.4996820308895144;16.564632826322033;0.94909926427833;98.31772036786084;Renforcer la gouvernance politique;0.9905090073572167;0.9758454000000001;0.9831772036786084
Benin;Africa;2016;10872063.0;5846177.0;0.0;66.32024;;59.73005;6494.034;53.772471701092975;;0.414240856628391;;;0.5911088874999567;0.3731060606060606;0.4949072486572613;48.26577819549436;59.11088874999568;53.604675625002166;Moderniser les services d'eau;0.4088911125000433;0.6632024;0.5360467562500216
Bermuda;Americas;2016;63362.0;0.0;1.0;;;;;0.0;;;;;;0.1837121212121211;0.0;0.0;;;Renforcer la gouvernance politique;;;
Bhutan;South-East Asia;2016;736708.0;483225.0;1.12;97.20763;35.99732;3.94974;31.50916;65.5924735444708;61.21030999999999;0.0343445897413191;0.6703870893880806;0.92770964184163;0.0390300172659777;0.1609848484848486;0.6036953405260413;20.632117185790044;63.41785683224022;96.65231413670111;Moderniser les services d'eau;0.9609699827340223;0.9720762999999999;0.9665231413670111
Bolivia (Plurinational State of);Americas;2016;11031814.0;3403747.0;-0.25;92.1769;;5.57744;607.2645;30.85391940074407;;0.0962195343940333;;;0.0551399811059034;0.4204545454545455;0.2839711078522873;14.227511810947703;5.513998110590345;93.33145094470483;Renforcer la gouvernance politique;0.9448600188940965;0.9217690000000001;0.9333145094470483
Bonaire, Sint Eustatius and Saba;Americas;2016;25020.0;6307.0;;;;;;25.20783373301359;;;;;;;0.2320060663523838;23.20060663523838;;;Créer ou étendre les services d'eau;;;
Bosnia and Herzegovina;Europe;2016;3386266.0;1845681.0;-0.4;96.15126;88.83336;0.07872;2.76853;54.50490304069439;7.317899999999994;0.0473373035786326;0.1169634035300477;0.1109108316561843;0.0007170651104027;0.4488636363636363;0.5016483481017401;17.197555731850738;9.159573569026657;98.03977674447985;Renforcer la gouvernance politique;0.9992829348895972;0.9615125999999999;0.9803977674447986
Botswana;Africa;2016;2159927.0;721580.0;0.99;89.40444;;11.76669;264.7807;33.40761053498567;;0.1303191201503479;;;0.1163973342399332;0.1856060606060606;0.3074745885959903;17.9985314206437;11.639733423993324;88.88235328800333;Créer ou étendre les services d'eau;0.8836026657600667;0.8940444;0.8888235328800334
